name,start,end,location,latitude,longitude,details,people,sources
Vokes Expedition to Syria,1940,,Syria,35.852028,38.561209,"To collect invertebrates, fossil flora, and dinosaur bones","Vokes, Harold E., leader","AMNH Annual Report No. 70, 1940, p. 11"
Vokes Expedition to Syria,1940,,Syria,36.667022,38.209647,"To collect invertebrates, fossil flora, and dinosaur bones","Vokes, Harold E., leader","AMNH Annual Report No. 70, 1940, p. 12"
Vokes Expedition to Syria,1940,,Syria,36.737489,41.483572,"To collect invertebrates, fossil flora, and dinosaur bones","Vokes, Harold E., leader","AMNH Annual Report No. 70, 1940, p. 13"
Expedition to the Yushe Basin,1987,,North China,38.193108,112.881286,To examine Neogene-aged deposits in the Yushe Basin,"Tedford, Richard H., Leader; Flynn, Lawrence J. (Harvard University); Downs, Will (Northern Arizona University); Opdyke, Neil (University of Florida); Qiu, Zhanxiang (Institue of Vertebrate Paleoanthropology, Beijing)","AR 119, 1987-88, p.51; AR 120, 1988-89, p. 38; AR 121, 1989-90, p. 39; AR 122, 1990-91, p. 35; AR 123, 1991-92, p. 45; AR 124, 1992993, p. 47"
Expedition to the Yushe Basin,1987,,North China,35.449737,111.475036,To examine Neogene-aged deposits in the Yushe Basin,"Tedford, Richard H., Leader; Flynn, Lawrence J. (Harvard University); Downs, Will (Northern Arizona University); Opdyke, Neil (University of Florida); Qiu, Zhanxiang (Institue of Vertebrate Paleoanthropology, Beijing)","AR 119, 1987-88, p.51; AR 120, 1988-89, p. 38; AR 121, 1989-90, p. 39; AR 122, 1990-91, p. 35; AR 123, 1991-92, p. 45; AR 124, 1992993, p. 48"
Expedition to the Yushe Basin,1987,,North China,35.162837,110.59613,To examine Neogene-aged deposits in the Yushe Basin,"Tedford, Richard H., Leader; Flynn, Lawrence J. (Harvard University); Downs, Will (Northern Arizona University); Opdyke, Neil (University of Florida); Qiu, Zhanxiang (Institue of Vertebrate Paleoanthropology, Beijing)","AR 119, 1987-88, p.51; AR 120, 1988-89, p. 38; AR 121, 1989-90, p. 39; AR 122, 1990-91, p. 35; AR 123, 1991-92, p. 45; AR 124, 1992993, p. 49"
Expedition to Cuba,1990,,"Pinar del Rio, Cuba",22.178804,-80.408439,To inspect for Mesozoic and Cenozoic fossils,"MacPhee, Ross D.E.; Smith, Michael L.; Norell, Mark A.; Gould, Gina (Colummbia University); White, Jennifer (SUNY, Stony Brook)","Ar 122, 1990-91,p.24"
Expedition to Cuba,1990,,"Pinar del Rio, Cuba",21.680124,-77.927152,To inspect for Mesozoic and Cenozoic fossils,"MacPhee, Ross D.E.; Smith, Michael L.; Norell, Mark A.; Gould, Gina (Colummbia University); White, Jennifer (SUNY, Stony Brook)","Ar 122, 1990-91,p.25"
Expedition to Cuba,1990,,"Pinar del Rio, Cuba",20.414806,-75.464079,To inspect for Mesozoic and Cenozoic fossils,"MacPhee, Ross D.E.; Smith, Michael L.; Norell, Mark A.; Gould, Gina (Colummbia University); White, Jennifer (SUNY, Stony Brook)","Ar 122, 1990-91,p.26"
Expedition to Cuba,1990,,"Pinar del Rio, Cuba",20.084029,-76.339628,To inspect for Mesozoic and Cenozoic fossils,"MacPhee, Ross D.E.; Smith, Michael L.; Norell, Mark A.; Gould, Gina (Colummbia University); White, Jennifer (SUNY, Stony Brook)","Ar 122, 1990-91,p.27"
